# Constructed from biom file									
Level_1	Level_2	Level_3	Level_4	Level_5	Level_6	controlA	controlB	maizA	maizB
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micromonosporales	f__Micromonosporaceae	g__Plantactinospora	0.002291276	0.002479916	0.00165586	0.001652228
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micromonosporales	f__Micromonosporaceae	g__Salinispora	0.001293837	0.000926487	0.000710485	0.000744386
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micromonosporales	f__Micromonosporaceae	g__Verrucosispora	0.001120696	0.000834468	0.000602725	0.000602725
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Nakamurellales	f__Nakamurellaceae	g__Nakamurella	0.001778391	0.001126024	0.000722592	0.000740996
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Propionibacteriales	f__Nocardioidaceae	g__Actinopolymorpha	0.001330887	0.000814127	0.000505863	0.000507074
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Propionibacteriales	f__Nocardioidaceae	g__Aeromicrobium	0.003435219	0.002432695	0.001612272	0.001500154
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Propionibacteriales	f__Nocardioidaceae	g__Friedmanniella	0.0024557	0.001594595	0.001079045	0.001111252
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Propionibacteriales	f__Nocardioidaceae	g__Kribbella	0.001820284	0.001136436	0.001078319	0.000795965
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Propionibacteriales	f__Nocardioidaceae	g__Marmoricola	0.001502091	0.001154114	0.000922129	0.000857957
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Propionibacteriales	f__Nocardioidaceae	g__Micropruina	0.000590618	0.00039205	0.000267098	0.000277268
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Propionibacteriales	f__Nocardioidaceae	g__Nocardioides	0.006308154	0.004956441	0.004055864	0.003950527
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Propionibacteriales	f__Nocardioidaceae	g__Pimelobacter	0.002202163	0.001622685	0.001480055	0.001176392
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Propionibacteriales	f__Propionibacteriaceae	g__Acidipropionibacterium	2.11E-05	0.000478742	0.000296156	0.000288892
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Propionibacteriales	f__Propionibacteriaceae	g__Auraticoccus	0.000900092	0.000582626	0.000397862	0.000396167
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Propionibacteriales	f__Propionibacteriaceae	g__Cutibacterium	0.00023586	0.000458401	0.000229079	0.000254506
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Propionibacteriales	f__Propionibacteriaceae	g__Microlunatus	0.001552944	0.000900335	0.000646313	0.000633479
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Propionibacteriales	f__Propionibacteriaceae	g__Propionibacterium	5.86E-05	0.000487217	0.000305358	0.000287439
