# Constructed from biom file									
Level_1	Level_2	Level_3	Level_4	Level_5	Level_6	controlA	controlB	maizA	maizB
k__Viruses	p__	c__	o__Caudovirales	f__Siphoviridae	g__Coopervirus	171	154	128	110
k__Viruses	p__	c__	o__Caudovirales	f__Siphoviridae	g__Corndogvirus	17	15	10	11
k__Viruses	p__	c__	o__Caudovirales	f__Siphoviridae	g__Cronusvirus	17	20	13	21
k__Viruses	p__	c__	o__Caudovirales	f__Siphoviridae	g__D3112virus	8	7	14	8
k__Viruses	p__	c__	o__Caudovirales	f__Siphoviridae	g__D3virus	66	119	237	190
k__Viruses	p__	c__	o__Caudovirales	f__Siphoviridae	g__Decurrovirus	3	2	1	2
k__Viruses	p__	c__	o__Caudovirales	f__Siphoviridae	g__Demosthenesvirus	25	18	12	14
k__Viruses	p__	c__	o__Caudovirales	f__Siphoviridae	g__E125virus	64	72	142	114
k__Viruses	p__	c__	o__Caudovirales	f__Siphoviridae	g__Eiauvirus	14	15	9	11
k__Viruses	p__	c__	o__Caudovirales	f__Siphoviridae	g__Ff47virus	9	17	13	9
k__Viruses	p__	c__	o__Caudovirales	f__Siphoviridae	g__Fishburnevirus	9	6	8	12
k__Viruses	p__	c__	o__Caudovirales	f__Siphoviridae	g__Gaiavirus	25	29	14	16
k__Viruses	p__	c__	o__Caudovirales	f__Siphoviridae	g__Gilesvirus	68	64	109	78
