# Constructed from biom file									
Level_1	Level_2	Level_3	Level_4	Level_5	Level_6	controlA	controlB	maizA	maizB
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Streptosporangiales	f__Streptosporangiaceae	g__Nonomuraea	13310	8258	9843	5995
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Streptosporangiales	f__Streptosporangiaceae	g__Streptosporangium	14582	9890	8363	7761
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Streptosporangiales	f__Thermomonosporaceae	g__Thermomonospora	4965	3114	2118	2113
k__Bacteria	p__Actinobacteria	c__Coriobacteriia	o__Coriobacteriales	f__Atopobiaceae	g__Atopobium	43	41	18	19
k__Bacteria	p__Actinobacteria	c__Coriobacteriia	o__Coriobacteriales	f__Atopobiaceae	g__Libanicoccus	1066	821	384	478
k__Bacteria	p__Actinobacteria	c__Coriobacteriia	o__Coriobacteriales	f__Atopobiaceae	g__Olsenella	4174	2742	1442	1654
k__Bacteria	p__Actinobacteria	c__Coriobacteriia	o__Coriobacteriales	f__Coriobacteriaceae	g__	776	1029	408	481
k__Bacteria	p__Actinobacteria	c__Coriobacteriia	o__Coriobacteriales	f__Coriobacteriaceae	g__Collinsella	595	434	264	244
k__Bacteria	p__Actinobacteria	c__Coriobacteriia	o__Coriobacteriales	f__Coriobacteriaceae	g__Coriobacterium	665	322	205	171
k__Bacteria	p__Actinobacteria	c__Coriobacteriia	o__Eggerthellales	f__Eggerthellaceae	g__Adlercreutzia	997	656	395	406
k__Bacteria	p__Actinobacteria	c__Coriobacteriia	o__Eggerthellales	f__Eggerthellaceae	g__Cryptobacterium	186	85	49	49
k__Bacteria	p__Actinobacteria	c__Coriobacteriia	o__Eggerthellales	f__Eggerthellaceae	g__Denitrobacterium	516	420	180	226
k__Bacteria	p__Actinobacteria	c__Coriobacteriia	o__Eggerthellales	f__Eggerthellaceae	g__Eggerthella	592	1554	883	993
k__Bacteria	p__Actinobacteria	c__Coriobacteriia	o__Eggerthellales	f__Eggerthellaceae	g__Gordonibacter	3104	2363	1319	1446
k__Bacteria	p__Actinobacteria	c__Coriobacteriia	o__Eggerthellales	f__Eggerthellaceae	g__Phoenicibacter	109	89	28	30
k__Bacteria	p__Actinobacteria	c__Coriobacteriia	o__Eggerthellales	f__Eggerthellaceae	g__Slackia	698	352	248	206
k__Bacteria	p__Actinobacteria	c__Nitriliruptoria	o__Euzebyales	f__Euzebyaceae	g__Euzebya	6250	3357	1970	2134
k__Bacteria	p__Actinobacteria	c__Rubrobacteria	o__Rubrobacterales	f__Rubrobacteraceae	g__Rubrobacter	17451	8829	4389	4334
k__Bacteria	p__Actinobacteria	c__Thermoleophilia	o__Solirubrobacterales	f__Conexibacteraceae	g__Conexibacter	25261	14335	7970	7716
k__Bacteria	p__Aquificae	c__Aquificae	o__Aquificales	f__Aquificaceae	g__Aquifex	93	48	17	26
k__Bacteria	p__Aquificae	c__Aquificae	o__Aquificales	f__Aquificaceae	g__Hydrogenobacter	50	14	11	7
k__Bacteria	p__Aquificae	c__Aquificae	o__Aquificales	f__Aquificaceae	g__Hydrogenobaculum	16	32	28	48
k__Bacteria	p__Aquificae	c__Aquificae	o__Aquificales	f__Aquificaceae	g__Thermocrinis	169	111	42	44
k__Bacteria	p__Aquificae	c__Aquificae	o__Aquificales	f__Hydrogenothermaceae	g__Persephonella	108	72	21	41
k__Bacteria	p__Aquificae	c__Aquificae	o__Aquificales	f__Hydrogenothermaceae	g__Sulfurihydrogenibium	155	100	61	70
k__Bacteria	p__Aquificae	c__Aquificae	o__Aquificales	f__Hydrogenothermaceae	g__Thermosulfidibacter	138	82	36	47
k__Bacteria	p__Aquificae	c__Aquificae	o__Desulfurobacteriales	f__Desulfurobacteriaceae	g__Desulfurobacterium	38	19	11	17
k__Bacteria	p__Aquificae	c__Aquificae	o__Desulfurobacteriales	f__Desulfurobacteriaceae	g__Thermovibrio	175	85	61	57
k__Bacteria	p__Armatimonadetes	c__Chthonomonadetes	o__Chthonomonadales	f__Chthonomonadaceae	g__Chthonomonas	591	267	126	169
k__Bacteria	p__Armatimonadetes	c__Fimbriimonadia	o__Fimbriimonadales	f__Fimbriimonadaceae	g__Fimbriimonas	2874	1439	694	825
k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	1542	1482	1485	2139
k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Barnesiellaceae	g__Barnesiella	352	310	190	338
k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Dysgonamonadaceae	g__Candidatus Azobacteroides	35	27	39	58
k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Dysgonamonadaceae	g__Proteiniphilum	351	240	199	245
k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Muribaculaceae	g__Muribaculum	237	108	82	112
k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Odoribacteraceae	g__Odoribacter	0	118	94	148
k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Paludibacteraceae	g__Paludibacter	191	113	97	205
k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Porphyromonadaceae	g__Fermentimonas	81	56	60	84
k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Porphyromonadaceae	g__Petrimonas	305	160	140	151
k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Porphyromonadaceae	g__Porphyromonas	222	255	217	242
k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Prevotellaceae	g__Prevotella	1361	971	669	904
k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Rikenellaceae	g__Alistipes	2062	1238	814	1006
k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Rikenellaceae	g__Mucinivorans	133	56	60	66
k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Tannerellaceae	g__Parabacteroides	60	153	136	153
k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Tannerellaceae	g__Tannerella	756	560	367	438
k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidetes Order II. Incertae sedis	f__Rhodothermaceae	g__	4386	4961	2763	3321
k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidetes Order II. Incertae sedis	f__Rhodothermaceae	g__Rhodothermus	3485	3123	1705	1964
k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidetes Order II. Incertae sedis	f__Rhodothermaceae	g__Salinibacter	321	1599	906	1017
k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Marinilabiliales	f__Marinifilaceae	g__	135	83	97	147
k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Marinilabiliales	f__Marinilabiliaceae	g__Alkalitalea	156	79	96	157
k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Marinilabiliales	f__Prolixibacteraceae	g__Draconibacterium	317	226	188	275
k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Marinilabiliales	f__Salinivirgaceae	g__Salinivirga	130	74	72	106
k__Bacteria	p__Bacteroidetes	c__Chitinophagia	o__Chitinophagales	f__Chitinophagaceae	g__Arachidicoccus	592	528	702	1366
k__Bacteria	p__Bacteroidetes	c__Chitinophagia	o__Chitinophagales	f__Chitinophagaceae	g__Chitinophaga	3973	2466	6376	6772
k__Bacteria	p__Bacteroidetes	c__Chitinophagia	o__Chitinophagales	f__Chitinophagaceae	g__Filimonas	1543	897	1650	2734
